x,y,z,yaw
1.75,0.94,2.0,23.8
1.76,0.95,2.0,23.73
1.77,0.95,2.0,23.65
1.78,0.95,2.0,23.57
1.79,0.96,2.0,23.49
1.8,0.96,2.0,23.41
1.81,0.97,2.0,23.33
1.82,0.97,2.0,23.25
1.83,0.97,2.0,23.17
1.83,0.98,2.0,23.09
1.84,0.98,2.0,23.01
1.85,0.98,2.0,22.92
1.86,0.99,2.0,22.84
1.87,0.99,2.0,22.75
1.88,1.0,2.0,22.67
1.89,1.0,2.0,22.58
1.9,1.0,2.0,22.49
1.91,1.01,2.0,22.4
1.92,1.01,2.0,22.32
1.93,1.02,2.0,22.23
1.94,1.02,2.0,22.14
1.95,1.02,2.0,22.04
1.95,1.03,2.0,21.95
1.96,1.03,2.0,21.86
1.97,1.03,2.0,21.76
1.98,1.04,2.0,21.67
1.99,1.04,2.0,21.58
2.0,1.05,2.0,21.48
2.01,1.05,2.0,21.38
2.02,1.05,2.0,21.28
2.03,1.06,2.0,21.19
2.04,1.06,2.0,21.09
2.05,1.06,2.0,20.99
2.06,1.07,2.0,20.88
2.07,1.07,2.0,20.78
2.08,1.07,2.0,20.68
2.09,1.08,2.0,20.58
2.09,1.08,2.0,20.47
2.1,1.08,2.0,20.36
2.11,1.09,2.0,20.26
2.12,1.09,2.0,20.15
2.13,1.1,2.0,20.04
2.14,1.1,2.0,19.93
2.15,1.1,2.0,19.82
2.16,1.11,2.0,19.71
2.17,1.11,2.0,19.6
2.18,1.11,2.0,19.48
2.19,1.12,2.0,19.37
2.2,1.12,2.0,19.25
2.21,1.12,2.0,19.14
2.22,1.13,2.0,19.02
2.23,1.13,2.0,18.9
2.24,1.13,2.0,18.78
2.25,1.13,2.0,18.66
2.25,1.14,2.0,18.54
2.26,1.14,2.0,18.42
2.27,1.14,2.0,18.29
2.28,1.15,2.0,18.17
2.29,1.15,2.0,18.04
2.3,1.15,2.0,17.91
2.31,1.16,2.0,17.78
2.32,1.16,2.0,17.65
2.33,1.16,2.0,17.52
2.34,1.17,2.0,17.39
2.35,1.17,2.0,17.26
2.36,1.17,2.0,17.12
2.37,1.17,2.0,16.99
2.38,1.18,2.0,16.85
2.39,1.18,2.0,16.71
2.4,1.18,2.0,16.57
2.41,1.19,2.0,16.43
2.42,1.19,2.0,16.29
2.43,1.19,2.0,16.15
2.44,1.19,2.0,16.0
2.45,1.2,2.0,15.86
2.46,1.2,2.0,15.71
2.47,1.2,2.0,15.56
2.47,1.21,2.0,15.41
2.48,1.21,2.0,15.26
2.49,1.21,2.0,15.11
2.5,1.21,2.0,14.95
2.51,1.22,2.0,14.8
2.52,1.22,2.0,14.64
2.53,1.22,2.0,14.48
2.54,1.22,2.0,14.32
2.55,1.23,2.0,14.16
2.56,1.23,2.0,14.0
2.57,1.23,2.0,13.83
2.58,1.23,2.0,13.67
2.59,1.24,2.0,13.5
2.6,1.24,2.0,13.33
2.61,1.24,2.0,13.16
2.62,1.24,2.0,12.99
2.63,1.24,2.0,12.81
2.64,1.25,2.0,12.64
2.65,1.25,2.0,12.46
2.66,1.25,2.0,12.28
2.67,1.25,2.0,12.1
2.68,1.26,2.0,11.92
2.69,1.26,2.0,11.74
2.7,1.26,2.0,11.55
2.71,1.26,2.0,11.36
2.72,1.26,2.0,11.17
2.73,1.27,2.0,10.98
2.74,1.27,2.0,10.79
2.75,1.27,2.0,10.59
2.76,1.27,2.0,10.4
2.77,1.27,2.0,10.2
2.78,1.27,2.0,10.0
2.79,1.28,2.0,9.8
2.8,1.28,2.0,9.59
2.81,1.28,2.0,9.39
2.82,1.28,2.0,9.18
2.83,1.28,2.0,8.97
2.84,1.28,2.0,8.76
2.85,1.29,2.0,8.54
2.86,1.29,2.0,8.32
2.87,1.29,2.0,8.11
2.88,1.29,2.0,7.89
2.89,1.29,2.0,7.66
2.9,1.29,2.0,7.44
2.91,1.29,2.0,7.21
2.92,1.3,2.0,6.98
2.93,1.3,2.0,6.75
2.94,1.3,2.0,6.52
2.95,1.3,2.0,6.28
2.95,1.3,2.0,6.04
2.96,1.3,2.0,5.8
2.97,1.3,2.0,5.56
2.98,1.3,2.0,5.31
2.99,1.3,2.0,5.07
3.0,1.3,2.0,4.82
3.01,1.31,2.0,4.56
3.02,1.31,2.0,4.31
3.03,1.31,2.0,4.05
3.04,1.31,2.0,3.79
3.05,1.31,2.0,3.53
3.06,1.31,2.0,3.26
3.07,1.31,2.0,3.0
3.08,1.31,2.0,2.73
3.09,1.31,2.0,2.46
3.1,1.31,2.0,2.18
3.11,1.31,2.0,1.9
3.12,1.31,2.0,1.62
3.13,1.31,2.0,1.34
3.14,1.31,2.0,1.05
3.15,1.31,2.0,0.76
3.16,1.31,2.0,0.47
3.17,1.31,2.0,0.18
3.18,1.31,2.0,-0.12
3.19,1.31,2.0,-0.42
3.2,1.31,2.0,-0.72
3.21,1.31,2.0,-1.03
3.22,1.31,2.0,-1.34
3.23,1.31,2.0,-1.65
3.24,1.31,2.0,-1.96
3.25,1.31,2.0,-2.28
3.26,1.31,2.0,-2.6
3.27,1.31,2.0,-2.92
3.28,1.31,2.0,-3.25
3.29,1.31,2.0,-3.57
3.3,1.31,2.0,-3.91
3.31,1.31,2.0,-4.24
3.32,1.31,2.0,-4.58
3.33,1.31,2.0,-4.92
3.34,1.3,2.0,-5.26
3.35,1.3,2.0,-5.61
3.36,1.3,2.0,-5.96
3.37,1.3,2.0,-6.32
3.38,1.3,2.0,-6.67
3.39,1.3,2.0,-7.03
3.4,1.3,2.0,-7.39
3.41,1.3,2.0,-7.76
3.42,1.3,2.0,-8.13
3.43,1.29,2.0,-8.5
3.44,1.29,2.0,-8.87
3.45,1.29,2.0,-9.25
3.46,1.29,2.0,-9.63
3.47,1.29,2.0,-10.02
3.48,1.29,2.0,-10.41
3.49,1.28,2.0,-10.8
3.5,1.28,2.0,-11.19
3.51,1.28,2.0,-11.59
3.52,1.28,2.0,-11.99
3.53,1.28,2.0,-12.39
3.54,1.27,2.0,-12.8
3.55,1.27,2.0,-13.21
