x,y,z,yaw
0.91,0.4,2.0,23.8
0.92,0.4,2.0,23.73
0.92,0.4,2.0,23.65
0.92,0.4,2.0,23.57
0.92,0.4,2.0,23.49
0.92,0.4,2.0,23.41
0.92,0.4,2.0,23.33
0.92,0.39,2.0,23.25
0.92,0.39,2.0,23.17
0.92,0.39,2.0,23.09
0.92,0.39,2.0,23.01
0.92,0.39,2.0,22.92
0.92,0.39,2.0,22.84
0.92,0.39,2.0,22.75
0.92,0.39,2.0,22.67
0.92,0.38,2.0,22.58
0.92,0.38,2.0,22.49
0.92,0.38,2.0,22.4
0.93,0.38,2.0,22.32
0.93,0.38,2.0,22.23
0.93,0.38,2.0,22.14
0.93,0.38,2.0,22.04
0.93,0.37,2.0,21.95
0.93,0.37,2.0,21.86
0.93,0.37,2.0,21.76
0.93,0.37,2.0,21.67
0.93,0.37,2.0,21.58
0.93,0.37,2.0,21.48
0.93,0.36,2.0,21.38
0.93,0.36,2.0,21.28
0.93,0.36,2.0,21.19
0.93,0.36,2.0,21.09
0.93,0.36,2.0,20.99
0.93,0.36,2.0,20.88
0.93,0.35,2.0,20.78
0.94,0.35,2.0,20.68
0.94,0.35,2.0,20.58
0.94,0.35,2.0,20.47
0.94,0.35,2.0,20.36
0.94,0.35,2.0,20.26
0.94,0.34,2.0,20.15
0.94,0.34,2.0,20.04
0.94,0.34,2.0,19.93
0.94,0.34,2.0,19.82
0.94,0.34,2.0,19.71
0.94,0.34,2.0,19.6
0.94,0.33,2.0,19.48
0.94,0.33,2.0,19.37
0.94,0.33,2.0,19.25
0.94,0.33,2.0,19.14
0.95,0.33,2.0,19.02
0.95,0.32,2.0,18.9
0.95,0.32,2.0,18.78
0.95,0.32,2.0,18.66
0.95,0.32,2.0,18.54
0.95,0.32,2.0,18.42
0.95,0.31,2.0,18.29
0.95,0.31,2.0,18.17
0.95,0.31,2.0,18.04
0.95,0.31,2.0,17.91
0.95,0.31,2.0,17.78
0.95,0.3,2.0,17.65
0.95,0.3,2.0,17.52
0.95,0.3,2.0,17.39
0.95,0.3,2.0,17.26
0.96,0.29,2.0,17.12
0.96,0.29,2.0,16.99
0.96,0.29,2.0,16.85
0.96,0.29,2.0,16.71
0.96,0.29,2.0,16.57
0.96,0.28,2.0,16.43
0.96,0.28,2.0,16.29
0.96,0.28,2.0,16.15
0.96,0.28,2.0,16.0
0.96,0.27,2.0,15.86
0.96,0.27,2.0,15.71
0.96,0.27,2.0,15.56
0.96,0.27,2.0,15.41
0.96,0.26,2.0,15.26
0.97,0.26,2.0,15.11
0.97,0.26,2.0,14.95
0.97,0.26,2.0,14.8
0.97,0.25,2.0,14.64
0.97,0.25,2.0,14.48
0.97,0.25,2.0,14.32
0.97,0.24,2.0,14.16
0.97,0.24,2.0,14.0
0.97,0.24,2.0,13.83
0.97,0.24,2.0,13.67
0.97,0.23,2.0,13.5
0.97,0.23,2.0,13.33
0.97,0.23,2.0,13.16
0.97,0.22,2.0,12.99
0.98,0.22,2.0,12.81
0.98,0.22,2.0,12.64
0.98,0.22,2.0,12.46
0.98,0.21,2.0,12.28
0.98,0.21,2.0,12.1
0.98,0.21,2.0,11.92
0.98,0.2,2.0,11.74
0.98,0.2,2.0,11.55
0.98,0.2,2.0,11.36
0.98,0.19,2.0,11.17
0.98,0.19,2.0,10.98
0.98,0.19,2.0,10.79
0.98,0.18,2.0,10.59
0.98,0.18,2.0,10.4
0.98,0.18,2.0,10.2
0.98,0.17,2.0,10.0
0.99,0.17,2.0,9.8
0.99,0.17,2.0,9.59
0.99,0.16,2.0,9.39
0.99,0.16,2.0,9.18
0.99,0.16,2.0,8.97
0.99,0.15,2.0,8.76
0.99,0.15,2.0,8.54
0.99,0.14,2.0,8.32
0.99,0.14,2.0,8.11
0.99,0.14,2.0,7.89
0.99,0.13,2.0,7.66
0.99,0.13,2.0,7.44
0.99,0.13,2.0,7.21
0.99,0.12,2.0,6.98
0.99,0.12,2.0,6.75
0.99,0.11,2.0,6.52
0.99,0.11,2.0,6.28
0.99,0.11,2.0,6.04
0.99,0.1,2.0,5.8
1.0,0.1,2.0,5.56
1.0,0.09,2.0,5.31
1.0,0.09,2.0,5.07
1.0,0.08,2.0,4.82
1.0,0.08,2.0,4.56
1.0,0.08,2.0,4.31
1.0,0.07,2.0,4.05
1.0,0.07,2.0,3.79
1.0,0.06,2.0,3.53
1.0,0.06,2.0,3.26
1.0,0.05,2.0,3.0
1.0,0.05,2.0,2.73
1.0,0.04,2.0,2.46
1.0,0.04,2.0,2.18
1.0,0.03,2.0,1.9
1.0,0.03,2.0,1.62
1.0,0.02,2.0,1.34
1.0,0.02,2.0,1.05
1.0,0.01,2.0,0.76
1.0,0.01,2.0,0.47
1.0,0.0,2.0,0.18
1.0,-0.0,2.0,-0.12
1.0,-0.01,2.0,-0.42
1.0,-0.01,2.0,-0.72
1.0,-0.02,2.0,-1.03
1.0,-0.02,2.0,-1.34
1.0,-0.03,2.0,-1.65
1.0,-0.03,2.0,-1.96
1.0,-0.04,2.0,-2.28
1.0,-0.05,2.0,-2.6
1.0,-0.05,2.0,-2.92
1.0,-0.06,2.0,-3.25
1.0,-0.06,2.0,-3.57
1.0,-0.07,2.0,-3.91
1.0,-0.07,2.0,-4.24
1.0,-0.08,2.0,-4.58
1.0,-0.09,2.0,-4.92
1.0,-0.09,2.0,-5.26
1.0,-0.1,2.0,-5.61
0.99,-0.1,2.0,-5.96
0.99,-0.11,2.0,-6.32
0.99,-0.12,2.0,-6.67
0.99,-0.12,2.0,-7.03
0.99,-0.13,2.0,-7.39
0.99,-0.14,2.0,-7.76
0.99,-0.14,2.0,-8.13
0.99,-0.15,2.0,-8.5
0.99,-0.15,2.0,-8.87
0.99,-0.16,2.0,-9.25
