x,y,z,yaw
4.29,1.0,1.2,0.0
4.2,1.02,1.2,-112.2962073790772
4.13,0.91,1.2,-135.73179351775926
4.05,0.92,1.2,128.47629829135826
4.01,0.97,1.2,73.24947278840062
3.94,1.08,1.2,-171.724256290115
3.73,1.05,1.2,-120.51621053034361
3.5,1.08,1.2,96.24672376587264
3.19,1.11,1.2,-149.18531352091958
2.94,1.09,1.2,-102.4250839766001
3.02,1.08,1.2,114.47286377328794
3.05,1.02,1.2,-48.5242135708897
3.03,0.98,1.2,-101.6046271097506
2.89,1.03,1.2,129.5767735091724
2.81,1.15,1.2,146.78685373575033
2.63,1.21,1.2,136.00842242504004
2.67,1.18,1.2,-47.89515551419119
2.55,1.18,1.2,163.45105779743236
2.38,1.24,1.2,131.46167458662526
2.1,1.26,1.2,169.21493621059605
1.93,1.3,1.2,-115.05141649086737
1.79,1.34,1.2,143.88510927920078
1.57,1.41,1.2,56.6397577087391
1.66,1.32,1.2,-20.03751894740601
1.79,1.28,1.2,-128.9634787371488
1.75,1.14,1.2,173.87898858331744
1.5,1.08,1.2,-169.12919728495743
1.29,1.02,1.2,162.7139512978002
1.14,1.07,1.2,151.0489611297929
0.99,1.02,1.2,-114.46838690177995
0.96,0.94,1.2,-37.673744050044
1.09,0.9,1.2,-72.11579481026725
1.13,0.84,1.2,-32.31389922759175
1.27,0.9,1.2,64.3595929896783
1.18,0.89,1.2,-67.60331018505859
1.27,0.84,1.2,-19.89080230402489
1.37,0.84,1.2,-166.3369868084358
1.36,0.87,1.2,133.9330571052227
1.16,0.86,1.2,-174.96974999922386
1.0,0.95,1.2,161.88005834629405
0.75,0.93,1.2,-63.72090828687122
0.9,0.91,1.2,64.43088721702891
0.82,1.14,1.2,70.01668128937659
0.9,1.27,1.2,83.91513251786961
0.86,1.36,1.2,83.60395777663739
0.94,1.43,1.2,74.2162324044535
0.84,1.46,1.2,32.40959026396916
1.07,1.56,1.2,-13.451505380027745
1.33,1.5,1.2,15.991379554393296
1.43,1.54,1.2,157.82833017647317
1.41,1.42,1.2,-50.88446765571249
1.23,1.37,1.2,150.20488741998253
1.27,1.41,1.2,-71.41090038243321
1.44,1.29,1.2,-29.310264268789137
1.36,1.16,1.2,-172.58474342494634
1.34,1.08,1.2,26.92364625547706
1.38,1.1,1.2,-64.5747095562011
1.37,1.13,1.2,142.40027908289957
1.14,1.14,1.2,123.02110246361445
1.02,1.2,1.2,-166.5685634063253
0.94,1.19,1.2,174.09548089672666
0.68,1.14,1.2,-60.26865374608224
0.83,1.12,1.2,24.771191755374268
0.81,1.25,1.2,97.26780114269582
0.92,1.33,1.2,-138.4467230380975
0.89,1.25,1.2,-16.95346254378293
0.57,1.27,1.2,140.6964787113027
0.56,1.26,1.2,26.467550797458042
0.65,1.28,1.2,-71.85275618361166
0.65,1.18,1.2,-96.52292092140085
0.37,1.09,1.2,-151.23299246273612
0.53,1.08,1.2,-1.7464290289816056
0.58,1.04,1.2,-71.2106732481977
0.49,1.0,1.2,122.58257210579494
0.52,1.05,1.2,5.841493011142169
0.48,1.09,1.2,152.81791010572843
0.36,1.13,1.2,-164.02092263804693
0.34,1.07,1.2,-67.26082236073823
0.26,0.97,1.2,-155.76414530042746
0.27,0.98,1.2,-42.52331228350532
0.4,0.93,1.2,64.64227177426235
0.42,1.07,1.2,-43.209879317070516
0.53,1.03,1.2,117.5250782591296
0.39,1.02,1.2,-143.17928121610487
0.01,0.96,1.2,6.601390253682376
0.0,1.03,1.2,62.62723033902714
0.03,1.06,1.2,59.85765227731667
0.2,1.1,1.2,177.12190150230074
0.11,1.15,1.2,141.7207515297631
0.14,1.27,1.2,-15.30768273773013
0.4,1.2,1.2,-63.76361999422782
0.43,1.29,1.2,-67.93540127134415
0.35,1.15,1.2,-107.26158560096886
0.25,0.93,1.2,-82.53587818586715
0.31,0.96,1.2,54.52214941177816
0.38,1.01,1.2,-176.4035644550492
0.23,1.0,1.2,100.5331867178054
0.27,1.0,1.2,-93.69446950005482
0.2,0.98,1.2,90.97039547588626
0.09,0.92,1.2,-139.00774152468202
0.02,0.77,1.2,-66.45682046100738
0.11,0.61,1.2,-65.48810627199413
0.16,0.52,1.2,-169.26649932699218
0.11,0.58,1.2,-39.56578828280539
0.06,0.69,1.2,135.87922625019976
0.01,0.7,1.2,14.96999209576753
0.03,0.55,1.2,-117.82700320831889
0.02,0.51,1.2,-54.29934964946985
0.23,0.5,1.2,-64.42930566262937
0.36,0.4,1.2,-50.52621616577297
0.26,0.33,1.2,-178.75722036039022
0.3,0.29,1.2,-37.42368869278437
0.32,0.28,1.2,35.442933761854235
0.4,0.19,1.2,-84.57023189312872
0.33,0.02,1.2,-109.24790720043147
0.36,-0.11,1.2,59.765502979449316
0.09,-0.2,1.2,-131.3171328935612
0.11,-0.36,1.2,-22.01655830850584
0.08,-0.33,1.2,102.77551016206789
0.06,-0.28,1.2,-10.000548279911643
0.03,-0.21,1.2,-47.18876859795707
0.07,-0.21,1.2,-88.94122561646418
0.02,-0.24,1.2,64.18743805219214
0.02,-0.16,1.2,67.62530858027729
0.13,-0.17,1.2,-80.51225160021907
0.05,-0.24,1.2,-38.65296326451572
0.3,-0.34,1.2,-53.49034411909798
0.31,-0.4,1.2,-179.87067429173777
0.29,-0.36,1.2,-78.25977114241415
0.03,-0.39,1.2,64.64369478084625
0.14,-0.23,1.2,28.430962379599215
0.18,-0.09,1.2,51.3830889926177
0.24,-0.21,1.2,-114.24127108974075
0.22,-0.26,1.2,-165.7814322781836
0.0,0.0,1.2,-165.7814322781836
