x,y,z,yaw
0.98,0.2,2.0,11.62
0.98,0.2,2.0,11.34
0.98,0.19,2.0,11.05
0.98,0.19,2.0,10.76
0.98,0.18,2.0,10.47
0.98,0.18,2.0,10.17
0.99,0.17,2.0,9.87
0.99,0.17,2.0,9.56
0.99,0.16,2.0,9.25
0.99,0.16,2.0,8.94
0.99,0.15,2.0,8.62
0.99,0.14,2.0,8.29
0.99,0.14,2.0,7.96
0.99,0.13,2.0,7.63
0.99,0.13,2.0,7.29
0.99,0.12,2.0,6.95
0.99,0.11,2.0,6.6
0.99,0.11,2.0,6.25
0.99,0.1,2.0,5.89
1.0,0.1,2.0,5.52
1.0,0.09,2.0,5.15
1.0,0.08,2.0,4.78
1.0,0.08,2.0,4.4
1.0,0.07,2.0,4.01
1.0,0.06,2.0,3.62
1.0,0.06,2.0,3.22
1.0,0.05,2.0,2.82
1.0,0.04,2.0,2.41
1.0,0.03,2.0,2.0
1.0,0.03,2.0,1.58
1.0,0.02,2.0,1.15
1.0,0.01,2.0,0.72
1.0,0.0,2.0,0.28
1.0,-0.0,2.0,-0.17
1.0,-0.01,2.0,-0.62
1.0,-0.02,2.0,-1.08
1.0,-0.03,2.0,-1.54
1.0,-0.04,2.0,-2.01
1.0,-0.04,2.0,-2.49
1.0,-0.05,2.0,-2.97
1.0,-0.06,2.0,-3.46
1.0,-0.07,2.0,-3.96
1.0,-0.08,2.0,-4.47
1.0,-0.09,2.0,-4.98
1.0,-0.1,2.0,-5.5
0.99,-0.1,2.0,-6.02
0.99,-0.11,2.0,-6.55
0.99,-0.12,2.0,-7.09
0.99,-0.13,2.0,-7.64
0.99,-0.14,2.0,-8.19
0.99,-0.15,2.0,-8.75
0.99,-0.16,2.0,-9.32
0.99,-0.17,2.0,-9.89
0.98,-0.18,2.0,-10.47
0.98,-0.19,2.0,-11.06
0.98,-0.2,2.0,-11.66
0.98,-0.21,2.0,-12.26
0.97,-0.22,2.0,-12.87
0.97,-0.23,2.0,-13.48
0.97,-0.24,2.0,-14.11
0.97,-0.25,2.0,-14.74
0.96,-0.27,2.0,-15.37
0.96,-0.28,2.0,-16.02
0.96,-0.29,2.0,-16.67
0.95,-0.3,2.0,-17.32
0.95,-0.31,2.0,-17.98
0.95,-0.32,2.0,-18.65
0.94,-0.33,2.0,-19.33
0.94,-0.34,2.0,-20.01
0.94,-0.35,2.0,-20.69
0.93,-0.36,2.0,-21.38
0.93,-0.38,2.0,-22.08
0.92,-0.39,2.0,-22.78
0.92,-0.4,2.0,-23.49
0.91,-0.41,2.0,-24.2
0.91,-0.42,2.0,-24.92
0.9,-0.43,2.0,-25.64
0.9,-0.44,2.0,-26.37
0.89,-0.46,2.0,-27.1
0.88,-0.47,2.0,-27.84
0.88,-0.48,2.0,-28.57
0.87,-0.49,2.0,-29.31
0.87,-0.5,2.0,-30.06
0.86,-0.51,2.0,-30.81
0.85,-0.52,2.0,-31.56
0.85,-0.53,2.0,-32.31
0.84,-0.55,2.0,-33.06
0.83,-0.56,2.0,-33.82
0.82,-0.57,2.0,-34.58
0.82,-0.58,2.0,-35.34
0.81,-0.59,2.0,-36.1
