timestamp,x,y,z,yaw,odor_concentration,is_surging,is_casting,vx,vy,vz,heading,angular_velocity
1744751520.125284,4.010166168212891,-0.5003044605255127,2.0022451877593994,3.1412437374305338,0.6,False,True,-0.5,0.00114332086935123,-0.001122593879699707,3.1393060158364894,62.786120316729786
1744751520.160275,4.0103020668029785,-0.501579225063324,2.0015461444854736,-3.1414216602266904,0.6,False,True,-0.5,0.0061570365959944745,-0.0007730722427368164,3.1292792027617518,-0.20053626149475257
1744751520.194186,4.010318279266357,-0.5024566054344177,2.0009188652038574,-3.1409535232540877,0.6,False,True,-0.5,0.014404945399949565,-0.00045943260192871094,3.1127907296533683,-0.32976946216766834
1744751520.224085,4.010127544403076,-0.503258466720581,2.0003743171691895,-3.140347726638743,0.6,False,True,-0.5,0.024334166413026357,-0.00018715858459472656,3.0929626916256376,-0.396560760554614
1744751520.2570903,4.009664058685303,-0.5040419697761536,1.9998470544815063,-3.140084099674496,0.6,False,True,-0.5,0.03795036017849684,7.647275924682617e-05,3.065837184138015,-0.5425101497524487
1744751520.2920446,4.008889675140381,-0.5048146843910217,1.999449372291565,-3.1401606471332943,0.6,False,True,-0.5,0.0550970891171903,0.0002753138542175293,3.0318412740996155,-0.6799182007679949
1744751520.3259702,4.007736682891846,-0.5054319500923157,1.9991647005081177,-3.1407376645976464,0.6,False,True,-0.5,0.07401535537143714,0.0004176497459411621,2.9946292154169485,-0.7442411736533394
1744751520.357904,4.0060625076293945,-0.5059846043586731,1.9990501403808594,3.1409905502038433,0.6,False,True,-0.5,0.0934825628700702,0.0004749298095703125,2.9567614623321408,-0.7573550616961544
1744751520.3937783,4.002917766571045,-0.5066758394241333,1.9990558624267578,3.1409087084025424,0.6,False,True,-0.5,0.116796657556638,0.00047206878662109375,2.9121141764383456,-0.8929457178759037
1744751520.4247189,3.9998035430908203,-0.5071493983268738,1.9993493556976318,3.1392398578565834,0.6,False,True,-0.5,0.1377012815158385,0.00032532215118408203,2.872852221570767,-0.785239097351571
1744751520.4576724,3.9958906173706055,-0.5075241923332214,1.9996763467788696,3.137690094055364,0.6,False,True,-0.5,0.16032334082528338,0.00016182661056518555,2.8313032066827546,-0.8309802977602487
1744751520.4934316,3.991224527359009,-0.5077672004699707,2.0001285076141357,3.134826050490049,0.6,False,True,-0.5,0.18474203341461207,-6.42538070678711e-05,2.787666617639457,-0.8727317808659496
1744751520.524471,3.9858310222625732,-0.5079238414764404,2.000488042831421,3.132507625474141,0.6,False,True,-0.5,0.20537625687173613,-0.00024402141571044922,2.7518513724273013,-0.7163049042431169
1744751520.5593545,3.9796977043151855,-0.5080288648605347,2.000786066055298,3.129985039310668,0.6,False,True,-0.5,0.22742972401915768,-0.0003930330276489258,2.7147049637624043,-0.7429281732979387
1744751520.5913522,3.9729301929473877,-0.5080077052116394,2.0010108947753906,3.1249751104088044,0.6,False,True,-0.5,0.24615653866139015,-0.0005054473876953125,2.684113471222403,-0.6118298508000297
1744751520.6263065,3.963047742843628,-0.5076483488082886,2.0011579990386963,3.119668445102391,0.6,False,True,-0.5,0.26448514811571233,-0.0005789995193481445,2.6550383073981116,-0.5815032764858241
1744751520.6591902,3.955026149749756,-0.5071114897727966,2.001225471496582,3.1170608514294735,0.6,False,True,-0.5,0.2792750158648702,-0.0006127357482910156,2.63220882658082,-0.4565896163458304
1744751520.6912544,3.9465131759643555,-0.5063634514808655,2.0012495517730713,3.1115615365955125,0.6,False,True,-0.5,0.29103943550327416,-0.0006247758865356445,2.614454688085625,-0.3550827699038983
1744751520.7251143,3.9375839233398438,-0.5054069757461548,2.0011301040649414,3.1053666888296183,0.6,False,True,-0.5,0.30025522217024136,-0.0005650520324707031,2.6007979111189368,-0.27313553933376866
1744751520.758115,3.928250551223755,-0.5042001008987427,2.001039981842041,3.1022588905225104,0.6,False,True,-0.5,0.3057660549354536,-0.0005199909210205078,2.5927367836168855,-0.16122255004102465
1744751520.7919877,3.9186432361602783,-0.5026662945747375,2.0009074211120605,3.0945987604745757,0.6,False,True,-0.5,0.30757570872975004,-0.00045371055603027344,2.590106832226757,-0.05259902780257342
1744751520.82488,3.908644676208496,-0.5008603930473328,2.000683546066284,3.0876678278606353,0.6,False,True,-0.5,0.30538776235049825,-0.00034177303314208984,2.593287624695186,0.06361584936858122
1744751520.8598094,3.8948745727539062,-0.49797505140304565,2.000295400619507,3.0854759159324705,0.6,False,True,-0.5,0.29862377491745334,-0.00014770030975341797,2.603199471555912,0.1982369372145243
1744751520.8916862,3.8842968940734863,-0.49535131454467773,2.000037431716919,3.0797037457146867,0.6,False,True,-0.5,0.2883468681024198,-1.8715858459472656e-05,2.618486417712966,0.30573892314107454
1744751520.926581,3.8735268115997314,-0.49235907196998596,1.99972665309906,3.0747985817042007,0.6,False,True,-0.5,0.27253872293469805,0.0001366734504699707,2.6425366088717817,0.48100382317631585
1744751520.9576323,3.862514019012451,-0.4889884293079376,1.9993375539779663,3.0725661658206813,0.6,False,True,-0.5,0.2544589284140185,0.0003312230110168457,2.670836237434102,0.5659925712464098
1744751520.9916468,3.851378917694092,-0.4852544963359833,1.9989886283874512,3.0653215865123693,0.6,False,True,-0.5,0.23036126348991137,0.0005056858062744141,2.7098577352982103,0.7804299572821627
1744751521.026475,3.840193271636963,-0.48107531666755676,1.9987194538116455,3.0579446733675657,0.6,False,True,-0.5,0.20112279625766336,0.0006402730941772461,2.759151921128318,0.9858837166021581
